1,1,3,3,4,4,4,4,4,5
0,0,1,2,2,2,3,5,8,15
0,0,0,2,3,3,8,12,26,35
0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,2,2,5,6,7
1,1,1,2,3,4,6,6,11,12
0,0,0,0,0,1,4,8,15,21
0,0,0,0,0,0,0,0,1,1
0,1,2,2,2,3,3,4,6,9
0,0,0,0,3,5,5,8,9,13
1,1,1,3,5,8,13,14,21,34
1,2,4,7,9,15,23,30,41,56
0,0,0,0,1,1,1,2,3,4
0,1,1,3,8,15,21,34,51,69
1,3,3,5,5,8,12,14,16,18
0,1,1,2,3,6,10,13,14,17
0,2,6,9,12,17,30,44,61,81
0,0,0,0,0,0,0,0,1,1
0,0,0,0,1,1,2,5,7,8
0,0,3,3,3,3,5,6,9,9
1,2,4,5,6,8,12,17,28,41
0,0,1,2,3,4,6,10,11,16
1,2,5,10,11,13,16,20,28,37
0,0,0,1,1,1,2,2,3,4
0,1,1,1,3,3,4,6,7,9
0,0,0,0,0,1,4,5,7,9
0,1,1,1,2,3,3,5,6,7
0,0,0,0,0,0,0,0,0,0
0,1,1,2,4,5,5,6,7,8
0,0,1,1,1,2,3,3,3,4
